stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
89140,,Camino Troncal - El Rincón Norte,,-33.0516477867218,-71.3382783997804,,,0,,
89141,,Uno Norte - Los Ligustros,,-33.0333322732443,-71.5286801196635,,,0,,
89142,,Uno Norte - Cinco 1 / 2 Ote,,-33.0232829589741,-71.5448031295091,,,0,,
89143,,Frutillar / Oriente,,-33.0319088729289,-71.4045957662165,,,0,,
89144,,Freire 640 - 731,,-33.0465285502535,-71.4053360559047,,,0,,
89145,,Uno Norte - Puente Quinta,,-33.0223943938058,-71.553257452324,,,0,,
89146,,Osman Perez Freire - Los Cristales / Norte,,-33.0330736793196,-71.40415051952,,,0,,
89147,,Industrial De Valparaiso,,-33.0297413819283,-71.5867019165307,,,0,,
89148,,Berlín - Aranda,,-33.0414629785912,-71.3802335131913,,,0,,
89149,,Errazuriz - Molina,,-33.0436256859163,-71.619341718033,,,0,,
89150,,Correo Chilexpress,,-33.0440486374553,-71.3686570990831,,,0,,
89151,,Bencinera Copec,,-33.0461688210859,-71.3918525911868,,,0,,
89152,,Ramon Angel Jara - Gregoria,,-33.0498604718335,-71.4013878442347,,,0,,
89153,,Maturana / O´Higgins,,-33.0624990442797,-71.3711086381227,,,0,,
89154,,Avenida Valparaíso - Nazareth / Norte,,-33.0461058683305,-71.3940144516528,,,0,,
89155,,Fabres 3050 - 3098 / Este,,-33.0391223297699,-71.3987163640559,,,0,,
89156,,Victoria - Primera,,-33.0462137873122,-71.366669582203,,,0,,
89157,,Rafael Sotomayor - Darwin,,-33.0525537953814,-71.4605761505663,,,0,,
89158,,Hipódromo - Pasaje Tres / Oriente,,-33.0534845240984,-71.3558895327151,,,0,,
89159,,Galvarino - Colipi,,-33.0251579091288,-71.6432321537285,,,0,,
89160,,La Palma - Dos Sur,,-33.0591810888439,-71.3714090455323,,,0,,
89161,,Alcalde Barrios - Frontera,,-33.0271126073173,-71.6402951348573,,,0,,
89162,,Santa Margarita - Ribadavia,,-33.057427647251,-71.37658839114,,,0,,
89163,,Errazuriz - San Martin - Plaza Echaurren,,-33.0358001997974,-71.6291988361627,,,0,,
89164,,Las Américas - Fabres / Norte,,-33.0391425661933,-71.3968873489648,,,0,,
89165,,Tierras Rojas 821 - 833,,-33.0591878327826,-71.4117411710322,,,0,,
89166,,Freire - Lo Gamboa,,-33.0421667349998,-71.4271263219416,,,0,,
89167,,Estacion Recreo / Oriente,,-33.0275762878491,-71.5755224693567,,,0,,
89168,,Banco Bci,,-33.0443544147023,-71.3763494230806,,,0,,
89169,,Las Américas - Lago Riñihue / Poniente,,-33.0405568558297,-71.3947332836688,,,0,,
89170,,Mateo De Toro Y Zambrano - Los Raullies,,-33.0361857505961,-71.4095165301114,,,0,,
89171,,O'Higgins - Vergara,,-33.0497390679971,-71.4696664083749,,,0,,
89172,,San Enrrique - Yungay,,-33.0598307525665,-71.3782835472375,,,0,,
89173,,Tierras Rojas 396,,-33.0573714466223,-71.4039509464054,,,0,,
89174,,Inglaterra - Egipto,,-33.0301256549393,-71.4825276006013,,,0,,
89175,,Sotomayor - Errazuriz,,-33.0381050616745,-71.6281983722001,,,0,,
89176,,Fin 125,,-33.0344843187877,-71.4044798724899,,,0,,
89177,,Alcalde Alejandro Peralta - Las Añañucas,,-33.0574209031775,-71.3950071204454,,,0,,
89178,,Uno Norte Easy,,-33.0359743850725,-71.5250057447702,,,0,,
89179,,Ramon Angel Jara - Rio Cachapoal,,-33.0613076519092,-71.4023931697011,,,0,,
89180,,Santa Rosa 85,,-33.0522525429162,-71.4514488447457,,,0,,
89181,,Aníbal Pinto - Andres Bello,,-33.0467353938596,-71.4454782474786,,,0,,
89182,,Volcan Villarica - Volcan Licancabur / Sur,,-33.0711080607366,-71.4254472590983,,,0,,
89184,,El Belloto 1126 - 1196,,-33.0334694401486,-71.4077017642558,,,0,,
89185,,Estacion Recreo / Poniente,,-33.0271464054827,-71.5756565798075,,,0,,
89186,,Pdte. Gabriel Gonzalez Videla - Peyronet,,-33.0588933469779,-71.432592663914,,,0,,
89187,,El Rocío - Calle 3,,-33.0603118153476,-71.3900074828416,,,0,,
89188,,Madrid - Caupolican,,-33.0391807905361,-71.3774652220309,,,0,,
89189,,Blanco - Las Rosas,,-33.0477516184329,-71.4293686486781,,,0,,
89190,,Plaza El Castillo,,-33.0511779175177,-71.3938135374337,,,0,,
89191,,Taller Deulofeu,,-33.0443926367835,-71.3836611248553,,,0,,
89192,,San Martin - Esmeralda / Norte,,-33.0496109193214,-71.4327911473811,,,0,,
89193,,Tierras Rojas - Pje 615,,-33.0591541130839,-71.4122035726359,,,0,,
89194,,Troncos Viejos - Psje 808,,-33.0620000101928,-71.4119342900813,,,0,,
89195,,Las Pléyades,,-33.0605568416414,-71.4259890653193,,,0,,
89196,,Julio Velasco - San Francisco / Oeste,,-33.0512296257348,-71.4667615760118,,,0,,
89197,,Esrtella Polar - Los Carrera / Norte,,-33.0386883697923,-71.4783782232553,,,0,,
89198,,Ist,,-33.0424095633824,-71.430795583874,,,0,,
89199,,1830 Frodden,,-33.0549255605048,-71.4646694529801,,,0,,
89200,,Los Carrera 15 / Norte,,-33.0470928724248,-71.4522183872759,,,0,,
89201,,Las Barrancas - Valle De Paraiso,,-33.0689952208448,-71.4225933887064,,,0,,
89202,,La Palma / Aviador Figueroa,,-33.0610558839103,-71.3676164019853,,,0,,
89203,,Manuel Montt - Caupolicán / Oriente,,-33.0438979968038,-71.3559378124774,,,0,,
89204,,Castellón / Gabriel Dazarola / Sur,,-33.0630655119766,-71.3605219591409,,,0,,
89205,,Los Carrera 1729 / Sur,,-33.0408603967508,-71.4726731646806,,,0,,
89206,,Troncos Viejos - Alfa Centauro,,-33.0583538284442,-71.3970536459237,,,0,,
89207,,Primera / Castellón,,-33.0628452194166,-71.3657361734658,,,0,,
89208,,Hevia 150,,-33.0434730538757,-71.4670539367944,,,0,,
89209,,Troncos Viejos - Serena,,-33.0595677404952,-71.4057721663266,,,0,,
89210,,Vicepresidente Bernando Leighton / Poniente,,-33.0498582236158,-71.3554445374757,,,0,,
89211,,San Enrique - Independencia,,-33.0351873813235,-71.4359937049448,,,0,,
89212,,Sargento Aldea - Quinta,,-33.041712554191,-71.3645962346345,,,0,,
89213,,Los Carrera 495 / Norte,,-33.0454313716989,-71.4589214790612,,,0,,
89214,,Buenos Aires - Peyronet,,-33.0526819397743,-71.4316619373859,,,0,,
89215,,Berlín - Las Américas,,-33.0436596692765,-71.3946420885623,,,0,,
89216,,Los Carrera 635,,-33.0482170094001,-71.4440218079835,,,0,,
89217,,Errazuriz - Francia / Oriente,,-33.0442869639302,-71.6117403376848,,,0,,
89218,,Berlín - Pudeto,,-33.0414719723187,-71.381606804207,,,0,,
89219,,La Place - Carlos Lineo,,-33.047095120713,-71.459975335747,,,0,,
89220,,Aviador Acevedo - Marinero Fuentealba,,-33.0421397540271,-71.4093636441976,,,0,,
